Datetime,mnq,div_cl,rot_score,above_4h_open,target,hour,dow,ml_prob,result
2024-06-11 14:00:00,19134.75,1.9892495909120242,82.4,1,1,14,1,0.6145601,WIN
2024-06-14 14:00:00,19628.25,4.2429414478938625,82.4,1,1,14,4,0.65447193,WIN
2024-06-25 19:00:00,19967.0,12.096229667813354,64.7,1,1,19,1,0.51137084,WIN
2024-06-27 13:00:00,20060.0,2.281448731183886,67.6,1,0,13,3,0.51652545,LOSS
2024-07-02 14:00:00,20111.25,9.332711596917953,91.2,1,1,14,1,0.5838493,WIN
2024-07-10 11:00:00,20749.75,20.849321927607015,73.5,1,0,11,2,0.5124065,LOSS
2024-07-10 17:00:00,20874.25,19.156760307220566,73.5,1,0,17,2,0.5248746,LOSS
2024-07-15 14:00:00,20727.75,19.7079121062744,64.7,1,0,14,0,0.5355616,LOSS
2024-07-22 10:00:00,19889.5,21.919357750593207,67.6,1,1,10,0,0.5289489,WIN
2024-07-22 11:00:00,19898.0,23.55031749235514,67.6,1,0,11,0,0.5137234,LOSS
2024-07-23 10:00:00,19973.75,23.146514527363777,61.8,1,0,10,1,0.5056359,LOSS
2024-07-23 11:00:00,19995.25,25.913320565979163,73.5,1,1,11,1,0.5238846,WIN
2024-07-29 16:00:00,19308.5,16.734590726213916,67.6,1,0,16,0,0.5004871,LOSS
2024-07-31 12:00:00,19347.25,0.4723107880568236,85.3,1,1,12,2,0.55963796,WIN
2024-07-31 13:00:00,19390.75,1.8974245275112693,70.6,1,1,13,2,0.55549866,WIN
2024-07-31 18:00:00,19554.75,0.4484998441761263,61.8,1,1,18,2,0.5112532,WIN
2024-08-05 14:00:00,17942.75,0.6538560578522521,67.6,1,0,14,0,0.68775785,LOSS
2024-08-06 16:00:00,18426.5,8.809526275924519,73.5,1,0,16,1,0.553609,LOSS
2024-08-07 13:00:00,18520.25,0.3031360027244787,82.4,1,0,13,2,0.5566049,LOSS
2024-08-13 13:00:00,18875.5,6.440436367077112,82.4,1,1,13,1,0.5340722,WIN
2024-08-13 14:00:00,18941.25,11.951209276111335,64.7,1,1,14,1,0.567731,WIN
2024-08-13 15:00:00,18980.75,19.91422272483559,64.7,1,1,15,1,0.5731517,WIN
2024-08-19 15:00:00,19638.5,18.18951385369209,73.5,1,1,15,0,0.54996437,WIN
2024-08-19 16:00:00,19692.75,32.31593884071537,73.5,1,1,16,0,0.56334877,WIN
2024-08-19 17:00:00,19721.5,35.496973129858745,82.4,1,1,17,0,0.5889423,WIN
2024-08-19 19:00:00,19859.75,42.49681837590204,67.6,1,0,19,0,0.5054216,LOSS
2024-08-21 16:00:00,19870.5,24.484268163880813,64.7,1,1,16,2,0.5808348,WIN
2024-08-21 17:00:00,19893.5,28.7701571241058,64.7,1,1,17,2,0.5741222,WIN
2024-08-27 14:00:00,19669.25,3.488824300029286,76.5,1,0,14,1,0.5240285,LOSS
2024-08-29 08:00:00,19413.25,8.889873050120372,67.6,1,1,8,3,0.5515204,WIN
2024-08-30 09:00:00,19529.5,1.4565721837027397,61.8,1,1,9,4,0.52797675,WIN
2024-09-04 13:00:00,18972.5,0.5863529542700832,64.7,1,1,13,2,0.56932604,WIN
2024-09-09 15:00:00,18635.75,2.1788609723041716,70.6,1,1,15,0,0.5460777,WIN
2024-09-11 18:00:00,19127.5,14.891113214933519,64.7,1,1,18,2,0.54825366,WIN
2024-09-11 19:00:00,19254.75,18.628835973433603,73.5,1,0,19,2,0.57092273,LOSS
2024-09-12 17:00:00,19465.75,9.74948026519057,64.7,1,0,17,3,0.5197685,LOSS
2024-09-18 16:00:00,19706.75,2.199006624665472,61.8,1,0,16,2,0.54307145,LOSS
2024-09-19 10:00:00,19997.0,9.385903187480409,64.7,1,1,10,3,0.60571426,WIN
2024-09-19 14:00:00,20063.5,13.668145110093398,73.5,1,1,14,3,0.56033874,WIN
2024-09-24 15:00:00,20187.0,8.889720224222856,91.2,1,0,15,1,0.5250964,LOSS
2024-09-26 06:00:00,20458.0,50.504614890002685,73.5,1,1,6,3,0.5259271,WIN
2024-09-30 19:00:00,20270.75,4.102830664057883,61.8,1,0,19,0,0.53321147,LOSS
2024-10-01 10:00:00,20314.5,7.990982114142092,67.6,1,0,10,1,0.526442,LOSS
2024-10-02 15:00:00,20060.75,3.3150608641061794,67.6,1,0,15,2,0.5211444,LOSS
2024-10-04 12:00:00,20244.75,0.7198839450066785,91.2,1,0,12,4,0.51979387,LOSS
2024-10-08 13:00:00,20155.75,15.921783759822162,64.7,1,1,13,1,0.59402275,WIN
2024-10-08 14:00:00,20239.75,25.62527179515576,64.7,1,1,14,1,0.59737813,WIN
2024-10-08 15:00:00,20257.5,27.36898081437318,64.7,1,1,15,1,0.62792724,WIN
2024-10-14 09:00:00,20487.5,23.337761397196346,73.5,1,1,9,0,0.5181204,WIN
2024-10-14 10:00:00,20510.5,23.84326283472302,73.5,1,1,10,0,0.53774124,WIN
2024-10-18 17:00:00,20485.5,15.516025360067097,67.6,1,1,17,4,0.5293325,WIN
2024-10-21 13:00:00,20493.25,0.8071219701301544,100.0,1,0,13,0,0.5621407,LOSS
2024-10-21 14:00:00,20427.75,0.42990945641179934,67.6,1,1,14,0,0.5912804,WIN
2024-10-24 11:00:00,20415.25,5.350761860648255,85.3,1,0,11,3,0.54636014,LOSS
2024-10-24 16:00:00,20357.0,10.429488576786824,67.6,1,1,16,3,0.6125339,WIN
2024-10-25 14:00:00,20656.25,20.86865863027728,73.5,1,0,14,4,0.5251809,LOSS
2024-10-29 16:00:00,20648.25,22.630754613268245,64.7,1,1,16,1,0.54851085,WIN
2024-11-05 17:00:00,20351.5,8.250706104796102,73.5,1,0,17,1,0.53294057,LOSS
2024-11-06 01:00:00,20402.5,13.694655757107753,64.7,1,1,1,2,0.5905633,WIN
2024-11-06 13:00:00,20686.5,29.653644481335398,61.8,1,1,13,2,0.5492563,WIN
2024-11-06 17:00:00,20817.0,18.683694068767146,73.5,1,1,17,2,0.57268065,WIN
2024-11-13 13:00:00,21173.75,8.943474863419041,67.6,1,1,13,2,0.55000794,WIN
2024-11-13 16:00:00,21165.25,1.9909147418951534,70.6,1,0,16,2,0.51852286,LOSS
2024-11-21 13:00:00,20844.25,0.38620185700685283,91.2,1,0,13,3,0.55002874,LOSS
2024-11-21 17:00:00,20818.75,5.702821068091495,91.2,1,0,17,3,0.510153,LOSS
2024-11-25 13:00:00,20999.25,11.781974702380118,64.7,1,0,13,0,0.5011722,LOSS
2024-12-02 14:00:00,21150.0,29.06554694148422,73.5,1,1,14,0,0.5402998,WIN
2024-12-02 16:00:00,21229.5,37.954661317957225,64.7,1,0,16,0,0.5230708,LOSS
2024-12-02 17:00:00,21228.0,34.23335906949161,64.7,1,0,17,0,0.5157988,LOSS
2024-12-13 12:00:00,21832.0,8.454200153487918,82.4,1,0,12,4,0.519023,LOSS
2024-12-13 13:00:00,21821.25,8.4715308172295,64.7,1,0,13,4,0.54144084,LOSS
2024-12-16 09:00:00,21846.75,10.088897917151506,64.7,1,1,9,0,0.56543696,WIN
2024-12-23 16:00:00,21693.0,18.90342403054109,67.6,1,1,16,0,0.67431056,WIN
2024-12-26 15:00:00,22007.0,7.56269591116412,73.5,1,1,15,3,0.5404608,WIN
2024-12-26 16:00:00,22039.5,12.030154159191191,73.5,1,0,16,3,0.53194296,LOSS
2025-01-14 18:00:00,20997.25,2.5692867789250187,70.6,1,0,18,1,0.5840284,LOSS
2025-01-17 09:00:00,21343.25,4.924218459991323,67.6,1,1,9,4,0.5631559,WIN
2025-01-17 13:00:00,21541.0,22.415186802421765,73.5,1,1,13,4,0.54506457,WIN
2025-01-27 15:00:00,21311.25,0.11630987994306707,64.7,1,0,15,0,0.50978947,LOSS
2025-01-28 15:00:00,21455.75,10.140209802402701,67.6,1,1,15,1,0.5491233,WIN
2025-02-03 15:00:00,21419.75,9.16577423128249,67.6,1,1,15,0,0.6082629,WIN
2025-02-03 21:00:00,21554.25,13.830850923128104,64.7,1,0,21,0,0.5276012,LOSS
2025-02-05 16:00:00,21711.0,26.340651239458502,64.7,1,1,16,2,0.59492296,WIN
