Datetime,mnq,div_cl,rot_score_short,below_4h_open,target,hour,dow,ml_prob,result,sinal
2024-06-24 16:00:00,19851.0,-15.590876080186767,64.7,1,1,16,0,0.73098004,WIN,SHORT
2024-06-24 17:00:00,19810.25,-18.431651431516094,64.7,1,1,17,0,0.65163934,WIN,SHORT
2024-06-26 17:00:00,19984.5,-0.1446289700410972,67.6,1,1,17,2,0.5775354,WIN,SHORT
2024-07-11 14:00:00,20604.0,-26.189876566211176,73.5,1,1,14,3,0.65735,WIN,SHORT
2024-07-16 17:00:00,20525.5,-0.5938917736426959,76.5,1,0,17,1,0.5980055,LOSS,SHORT
2024-07-17 06:00:00,20455.0,-5.393756481572254,82.4,1,1,6,2,0.5586997,WIN,SHORT
2024-07-17 07:00:00,20363.25,-19.827392493564396,64.7,1,1,7,2,0.6052839,WIN,SHORT
2024-07-17 08:00:00,20343.0,-15.744958554301085,64.7,1,1,8,2,0.58145326,WIN,SHORT
2024-07-17 11:00:00,20287.0,-26.607832371316945,64.7,1,1,11,2,0.7180498,WIN,SHORT
2024-07-17 12:00:00,20280.25,-32.034215447008805,64.7,1,1,12,2,0.69698954,WIN,SHORT
2024-07-17 14:00:00,20123.25,-48.03688045803928,64.7,1,1,14,2,0.69079924,WIN,SHORT
2024-07-17 15:00:00,20086.5,-51.61155472255278,61.8,1,1,15,2,0.6768237,WIN,SHORT
2024-07-24 07:00:00,19716.5,-0.5787437742170454,82.4,1,0,7,2,0.5396496,LOSS,SHORT
2024-07-24 12:00:00,19633.25,-11.656727670068904,64.7,1,1,12,2,0.740166,WIN,SHORT
2024-07-24 15:00:00,19359.0,-25.012823097771367,64.7,1,1,15,2,0.73935646,WIN,SHORT
2024-07-24 16:00:00,19321.75,-26.323161296023997,64.7,1,1,16,2,0.77642506,WIN,SHORT
2024-07-30 15:00:00,18929.25,-0.6846971699390423,76.5,1,0,15,1,0.62053204,LOSS,SHORT
2024-07-30 16:00:00,18815.75,-14.003481230397242,73.5,1,0,16,1,0.5390189,LOSS,SHORT
2024-08-02 02:00:00,18762.5,-11.628467847447077,64.7,1,1,2,4,0.7025851,WIN,SHORT
2024-08-07 19:00:00,17968.0,-22.107662368900804,67.6,1,1,19,2,0.52002066,WIN,SHORT
2024-08-22 14:00:00,19877.5,-3.233044561447187,67.6,1,1,14,3,0.571111,WIN,SHORT
2024-08-22 15:00:00,19711.0,-19.093455025372997,64.7,1,1,15,3,0.6597553,WIN,SHORT
2024-08-22 16:00:00,19707.25,-20.16412841398089,64.7,1,1,16,3,0.5714241,WIN,SHORT
2024-08-26 13:00:00,19722.25,-39.07154843384895,73.5,1,1,13,0,0.6464173,WIN,SHORT
2024-08-28 14:00:00,19455.0,-8.878764710434005,82.4,1,1,14,2,0.5537093,WIN,SHORT
2024-08-28 15:00:00,19427.0,-7.212315515111811,64.7,1,0,15,2,0.54386437,LOSS,SHORT
2024-09-03 19:00:00,19012.0,-3.066309565787222,64.7,1,1,19,1,0.7970238,WIN,SHORT
2024-09-05 12:00:00,18889.75,-3.910839174653553,82.4,1,0,12,3,0.6410678,LOSS,SHORT
2024-09-06 06:00:00,18844.75,-6.313621962810231,82.4,1,1,6,4,0.5379335,WIN,SHORT
2024-09-12 15:00:00,19265.5,-1.4778384174076251,67.6,1,0,15,3,0.5160287,LOSS,SHORT
2024-09-18 14:00:00,19691.25,-2.8775549042931345,76.5,1,0,14,2,0.5312524,LOSS,SHORT
2024-09-24 09:00:00,20131.5,-4.256557246186922,91.2,1,1,9,1,0.6101785,WIN,SHORT
2024-09-27 15:00:00,20235.75,-3.446640876355204,91.2,1,0,15,4,0.5265352,LOSS,SHORT
2024-10-01 13:00:00,20043.75,-25.615925931431526,91.2,1,1,13,1,0.6357604,WIN,SHORT
2024-10-02 16:00:00,19980.25,-2.4214187161445295,70.6,1,0,16,2,0.534634,LOSS,SHORT
2024-10-02 19:00:00,20009.25,-6.604438291338404,67.6,1,0,19,2,0.518864,LOSS,SHORT
2024-10-21 10:00:00,20372.25,-17.85528667443412,64.7,1,0,10,0,0.5268786,LOSS,SHORT
2024-10-21 11:00:00,20359.0,-19.980728949473146,64.7,1,0,11,0,0.52019215,LOSS,SHORT
2024-10-23 08:00:00,20489.25,-1.0298814322417087,61.8,1,1,8,2,0.52845705,WIN,SHORT
2024-10-23 13:00:00,20432.5,-9.217770558751468,73.5,1,1,13,2,0.5877611,WIN,SHORT
2024-10-23 14:00:00,20392.0,-9.079828284227816,67.6,1,1,14,2,0.5856231,WIN,SHORT
2024-10-30 12:00:00,20688.25,-3.1136876171789964,67.6,1,1,12,2,0.5870139,WIN,SHORT
2024-10-30 19:00:00,20536.0,-20.17914925519444,64.7,1,1,19,2,0.60414666,WIN,SHORT
2024-10-30 20:00:00,20505.5,-24.104862063311714,73.5,1,1,20,2,0.50688154,WIN,SHORT
2024-10-31 13:00:00,20166.25,-37.43791209529565,64.7,1,1,13,3,0.67096144,WIN,SHORT
2024-10-31 14:00:00,20088.5,-41.89494194490679,64.7,1,1,14,3,0.66662717,WIN,SHORT
2024-11-12 17:00:00,21066.0,-6.617773048335252,82.4,1,0,17,1,0.53788036,LOSS,SHORT
2024-11-14 14:00:00,21092.0,-17.299481435999006,64.7,1,1,14,3,0.699878,WIN,SHORT
2024-11-15 15:00:00,20561.5,-30.89684571164888,64.7,1,1,15,4,0.5899681,WIN,SHORT
2024-11-18 09:00:00,20557.75,-12.157009234725528,67.6,1,0,9,0,0.5342648,LOSS,SHORT
2024-11-19 13:00:00,20422.25,-23.771793247458994,64.7,1,0,13,1,0.59963244,LOSS,SHORT
2024-11-27 09:00:00,20922.0,-0.11072132586392058,61.8,1,0,9,2,0.5976596,LOSS,SHORT
2024-11-27 14:00:00,20859.25,-7.6173848468916034,67.6,1,1,14,2,0.5747666,WIN,SHORT
2025-01-02 15:00:00,21277.5,-37.753987931201486,64.7,1,1,15,3,0.6427996,WIN,SHORT
2025-01-07 14:00:00,21711.0,-5.657027310859355,67.6,1,1,14,1,0.5403129,WIN,SHORT
2025-01-07 15:00:00,21547.75,-16.75639036217256,64.7,1,1,15,1,0.62562925,WIN,SHORT
2025-01-10 13:00:00,21116.5,-46.63227923390721,73.5,1,1,13,4,0.70707977,WIN,SHORT
2025-01-10 14:00:00,21054.75,-50.338971599107026,73.5,1,0,14,4,0.64700973,LOSS,SHORT
2025-01-24 18:00:00,21867.75,-7.051311755750575,82.4,1,1,18,4,0.5121429,WIN,SHORT
2025-01-26 23:00:00,21666.0,-10.614003701623929,67.6,1,1,23,6,0.51728714,WIN,SHORT
2025-01-27 07:00:00,21284.0,-26.313436815648238,64.7,1,1,7,0,0.66190827,WIN,SHORT
2025-01-27 08:00:00,21242.25,-32.65748857435675,64.7,1,1,8,0,0.5483084,WIN,SHORT
