ts,asset,direction,entry,target,stop,result,prob,hour,dow,atr,stop_r,target_r,pnl_r
2026-04-26 22:00,btc,SHORT,78333.242,77350.985,78824.371,LOSS,0.7075,22,6,327.4191,1.5,3.0,-1.5
2026-04-26 23:00,btc,SHORT,78664.641,77537.379,79228.271,LOSS,0.569,23,6,375.7539,1.5,3.0,-1.5
2026-04-27 04:00,btc,SHORT,78942.023,77517.069,79654.501,WIN,0.5596,4,0,474.9849,1.5,3.0,3.0
2026-04-27 05:00,cl,LONG,96.07,98.141,94.516,TIMEOUT,0.571,5,0,1.0357,1.5,2.0,0.0
2026-04-27 06:00,cl,LONG,96.08,97.76,94.82,LOSS,0.6268,6,0,0.84,1.5,2.0,-1.5
2026-04-27 07:00,cl,LONG,96.83,98.441,95.621,LOSS,0.6638,7,0,0.8057,1.5,2.0,-1.5
2026-04-27 08:00,cl,LONG,96.48,97.999,95.341,LOSS,0.6018,8,0,0.7593,1.5,2.0,-1.5
2026-04-27 09:00,cl,LONG,96.49,97.937,95.405,LOSS,0.5629,9,0,0.7236,1.5,2.0,-1.5
2026-04-27 15:00,cl,SHORT,96.17,94.39,97.505,LOSS,0.5552,15,0,0.89,1.5,2.0,-1.5
2026-04-28 07:00,cl,SHORT,98.89,97.411,99.999,LOSS,0.6344,7,1,0.7393,1.5,2.0,-1.5
2026-04-28 08:00,cl,SHORT,98.95,97.537,100.01,LOSS,0.6376,8,1,0.7064,1.5,2.0,-1.5
2026-04-28 09:00,cl,SHORT,99.81,98.409,100.861,LOSS,0.7264,9,1,0.7007,1.5,2.0,-1.5
2026-04-28 10:00,cl,SHORT,99.74,98.349,100.784,LOSS,0.6977,10,1,0.6957,1.5,2.0,-1.5
2026-04-28 11:00,cl,SHORT,101.26,99.616,102.493,WIN,0.6617,11,1,0.8221,1.5,2.0,2.0
2026-04-28 12:00,cl,SHORT,99.4,97.367,100.925,TIMEOUT,0.6376,12,1,1.0164,1.5,2.0,0.0
2026-04-28 13:00,cl,SHORT,99.4,97.157,101.082,TIMEOUT,0.6691,13,1,1.1214,1.5,2.0,0.0
