ts,asset,direction,entry,stop,target,prob,atr,stop_r,target_r,conf_long,conf_short
2026-05-26 09:00,mnq,SHORT,29838.500,29989.140,29537.210,0.5100,100.4300,1.5,3,0.2050,0.5100
2026-05-26 09:00,cl,LONG,93.020,90.770,96.030,0.7380,1.5000,1.5,2,0.7380,0.2310
2026-05-26 09:00,btc,SHORT,76590.211,77030.370,75709.890,0.5020,293.4400,1.5,3,0.3230,0.5020
2026-05-26 10:00,btc,SHORT,76516.922,76936.750,75677.270,0.5020,279.8900,1.5,3,0.3410,0.5020
2026-05-26 10:00,btc,SHORT,76559.969,76979.800,75720.310,0.5040,279.8900,1.5,3,0.3230,0.5040
2026-05-26 10:00,btc,SHORT,76646.008,77072.260,75793.510,0.5080,284.1700,1.5,3,0.3210,0.5080
2026-05-26 10:00,btc,SHORT,77292.102,77795.020,76286.270,0.5160,335.2800,1.5,3,0.3270,0.5160
2026-05-26 10:00,btc,SHORT,77390.758,77904.560,76363.150,0.5080,342.5400,1.5,3,0.3510,0.5080
2026-05-26 10:00,btc,SHORT,77377.133,77898.150,76335.110,0.5050,347.3400,1.5,3,0.3550,0.5050
2026-05-26 10:00,btc,SHORT,77416.297,77937.310,76374.270,0.5000,347.3400,1.5,3,0.3600,0.5000
2026-05-26 11:00,btc,SHORT,77331.523,77849.060,76296.460,0.5060,345.0200,1.5,3,0.3540,0.5060
2026-05-26 11:00,btc,SHORT,77198.273,77730.480,76133.870,0.5190,354.8000,1.5,3,0.2960,0.5190
2026-05-26 11:00,btc,SHORT,77147.219,77684.500,76072.660,0.5520,358.1900,1.5,3,0.2920,0.5520
2026-05-26 13:00,btc,SHORT,76727.656,77284.090,75614.800,0.5080,370.9500,1.5,3,0.3010,0.5080
2026-05-26 13:00,btc,SHORT,76703.047,77259.480,75590.190,0.5090,370.9500,1.5,3,0.3060,0.5090
2026-05-26 15:00,cl,LONG,94.330,92.290,97.050,0.6110,1.3600,1.5,2,0.6110,0.3250
2026-05-26 15:00,btc,SHORT,76264.258,76955.920,74880.920,0.5730,461.1100,1.5,3,0.2230,0.5730
2026-05-26 15:00,btc,SHORT,76351.250,77042.920,74967.920,0.5730,461.1100,1.5,3,0.2310,0.5730
2026-05-26 15:00,cl,SHORT,94.520,96.580,91.770,0.5310,1.3800,1.5,2,0.3880,0.5310
2026-05-26 15:00,cl,LONG,94.320,92.260,97.070,0.5290,1.3800,1.5,2,0.5290,0.4030
2026-05-26 15:00,btc,SHORT,76352.492,77045.840,74965.800,0.5610,462.2300,1.5,3,0.2290,0.5610
2026-05-26 15:00,cl,LONG,94.320,92.260,97.070,0.5270,1.3800,1.5,2,0.5270,0.4060
2026-05-26 15:00,btc,SHORT,76182.008,76882.490,74781.050,0.5220,466.9900,1.5,3,0.2460,0.5220
2026-05-26 16:00,btc,SHORT,76344.570,77021.140,74991.420,0.5370,451.0500,1.5,3,0.2520,0.5370
2026-05-26 16:00,btc,SHORT,76297.539,76982.800,74927.020,0.5200,456.8400,1.5,3,0.2400,0.5200
2026-05-26 16:00,btc,SHORT,76358.406,77060.660,74953.900,0.5240,468.1700,1.5,3,0.2530,0.5240
2026-05-26 16:00,btc,SHORT,76438.047,77160.450,74993.240,0.5040,481.6000,1.5,3,0.2600,0.5040
2026-05-26 16:00,btc,SHORT,76353.219,77075.620,74908.420,0.5170,481.6000,1.5,3,0.2580,0.5170
2026-05-26 16:00,btc,SHORT,76348.031,77070.430,74903.230,0.5220,481.6000,1.5,3,0.2580,0.5220
2026-05-26 16:00,btc,SHORT,76416.773,77139.170,74971.970,0.5360,481.6000,1.5,3,0.2750,0.5360
2026-05-26 17:00,cl,LONG,93.980,92.020,96.590,0.5090,1.3100,1.5,2,0.5090,0.4190
2026-05-26 17:00,cl,LONG,94.030,92.060,96.650,0.5130,1.3100,1.5,2,0.5130,0.4220
2026-05-26 17:00,btc,SHORT,75764.008,76543.890,74204.240,0.5010,519.9200,1.5,3,0.2570,0.5010
2026-05-26 17:00,cl,LONG,93.900,91.930,96.530,0.5030,1.3100,1.5,2,0.5030,0.4300
