ts,sinal,rot_score,dir_long,above_4h_open,ml_prob,dist_4h_pct,div_cl,rsi_mnq,adx_mnq,sma50_align,bb_w_cl,regime_bull,dist_sma200,hour,dow
2026-05-27 13:00:00,AGUARDAR,35.3,1,0,0.5012,-0.09,36.55,68.7,39.6,2,3.419,1,2.77,13,2
2026-05-27 13:00:00,AGUARDAR,50.0,1,0,0.5804,-0.635,22.83,56.3,37.7,2,3.383,1,2.21,13,2
2026-05-27 13:00:00,AGUARDAR,50.0,1,0,0.5804,-0.657,22.31,55.9,37.7,2,3.38,1,2.19,13,2
2026-05-27 13:00:00,AGUARDAR,44.1,1,0,0.5921,-0.91,17.95,51.6,37.0,2,3.378,1,1.93,13,2
2026-05-27 13:00:00,AGUARDAR,44.1,1,0,0.5972,-0.926,19.21,51.4,36.8,2,3.419,1,1.92,13,2
2026-05-27 13:00:00,AGUARDAR,50.0,1,0,0.6104,-0.706,21.73,55.0,36.8,2,3.388,1,2.14,13,2
2026-05-27 13:00:00,AGUARDAR,44.1,1,0,0.6104,-0.729,20.22,54.6,36.8,2,3.36,1,2.12,13,2
2026-05-27 14:00:00,AGUARDAR,50.0,1,0,0.5611,-0.653,22.18,55.9,34.9,2,3.394,1,2.18,14,2
2026-05-27 14:00:00,AGUARDAR,44.1,1,0,0.5681,-0.852,18.12,52.4,34.9,2,3.374,1,1.98,14,2
2026-05-27 14:00:00,AGUARDAR,32.4,1,0,0.563,-0.835,17.59,52.7,34.9,2,3.356,1,2.0,14,2
2026-05-27 14:00:00,AGUARDAR,32.4,1,0,0.5603,-0.778,20.24,53.7,34.9,2,3.408,1,2.06,14,2
2026-05-27 14:00:00,AGUARDAR,44.1,1,0,0.5826,-0.963,14.39,50.6,34.9,2,3.334,1,1.87,14,2
2026-05-27 14:00:00,AGUARDAR,44.1,1,0,0.5877,-1.146,14.41,47.8,34.7,2,3.408,1,1.68,14,2
2026-05-27 14:00:00,AGUARDAR,44.1,1,0,0.6099,-1.124,11.61,48.1,34.7,2,3.327,1,1.7,14,2
2026-05-27 14:00:00,AGUARDAR,32.4,1,0,0.6116,-0.9,15.18,51.6,34.7,2,3.329,1,1.93,14,2
2026-05-27 14:00:00,AGUARDAR,32.4,1,0,0.609,-0.894,12.44,51.7,34.7,2,3.28,1,1.94,14,2
2026-05-27 14:00:00,AGUARDAR,44.1,1,0,0.6056,-0.917,12.55,51.3,34.7,2,3.287,1,1.91,14,2
2026-05-27 14:00:00,AGUARDAR,44.1,1,0,0.6034,-0.862,11.76,52.2,34.7,2,3.263,1,1.97,14,2
2026-05-27 14:00:00,AGUARDAR,44.1,1,0,0.6039,-1.041,9.59,49.4,34.7,2,3.272,1,1.79,14,2
2026-05-27 15:00:00,AGUARDAR,32.4,1,0,0.6352,-1.091,9.21,48.6,32.8,2,3.155,1,1.73,15,2
2026-05-27 15:00:00,AGUARDAR,32.4,1,0,0.6283,-1.116,8.01,48.2,32.8,2,3.141,1,1.7,15,2
2026-05-27 15:00:00,AGUARDAR,32.4,1,0,0.6283,-1.075,8.3,48.9,32.8,2,3.138,1,1.74,15,2
2026-05-27 15:00:00,AGUARDAR,44.1,1,0,0.6134,-0.982,9.83,50.3,32.8,2,3.138,1,1.84,15,2
2026-05-27 15:00:00,AGUARDAR,44.1,1,0,0.6119,-1.086,8.63,48.7,32.8,2,3.143,1,1.73,15,2
2026-05-27 15:00:00,AGUARDAR,35.3,1,0,0.6119,-1.206,7.37,46.9,32.8,1,3.152,1,1.61,15,2
2026-05-27 15:00:00,AGUARDAR,44.1,1,0,0.6119,-1.104,8.47,48.4,32.8,2,3.144,1,1.71,15,2
2026-05-27 15:00:00,AGUARDAR,44.1,1,0,0.6146,-0.985,12.39,50.3,32.8,2,3.195,1,1.83,15,2
2026-05-27 15:00:00,AGUARDAR,35.3,1,0,0.6195,-1.119,10.51,48.2,32.8,1,3.201,1,1.7,15,2
2026-05-27 15:00:00,AGUARDAR,44.1,1,0,0.6195,-1.125,10.94,48.1,32.8,2,3.22,1,1.69,15,2
2026-05-27 15:00:00,AGUARDAR,35.3,1,0,0.6179,-1.181,8.58,47.3,32.8,1,3.171,1,1.63,15,2
2026-05-27 15:00:00,AGUARDAR,35.3,1,0,0.6195,-1.215,9.11,46.8,32.8,1,3.201,1,1.6,15,2
2026-05-27 15:00:00,AGUARDAR,35.3,1,0,0.624,-1.12,10.92,48.2,32.8,1,3.216,1,1.7,15,2
2026-05-27 16:00:00,AGUARDAR,8.8,1,1,0.5946,0.01,11.4,48.8,31.0,1,3.136,1,1.73,16,2
2026-05-27 16:00:00,AGUARDAR,20.6,1,1,0.6068,0.058,11.19,49.5,31.0,1,3.118,1,1.78,16,2
2026-05-27 16:00:00,AGUARDAR,29.4,1,1,0.6047,0.165,12.93,51.2,30.9,2,3.119,1,1.88,16,2
2026-05-27 16:00:00,AGUARDAR,29.4,1,1,0.6112,0.173,12.99,51.3,31.0,2,3.118,1,1.89,16,2
2026-05-27 16:00:00,AGUARDAR,58.8,1,1,0.6353,0.216,14.75,52.0,31.0,2,3.139,1,1.94,16,2
2026-05-27 16:00:00,AGUARDAR,58.8,1,1,0.6337,0.198,15.19,51.7,31.0,2,3.163,1,1.92,16,2
2026-05-27 16:00:00,AGUARDAR,58.8,1,1,0.6199,0.178,14.33,51.4,31.0,2,3.143,1,1.9,16,2
2026-05-27 16:00:00,AGUARDAR,58.8,1,1,0.6359,0.238,15.55,52.3,31.0,2,3.155,1,1.96,16,2
2026-05-27 16:00:00,AGUARDAR,58.8,1,1,0.6412,0.317,17.91,53.4,31.1,2,3.207,1,2.04,16,2
2026-05-27 16:00:00,AGUARDAR,58.8,1,1,0.6423,0.36,18.03,54.0,31.2,2,3.186,1,2.08,16,2
2026-05-27 16:00:00,AGUARDAR,58.8,1,1,0.6299,0.307,17.15,53.3,31.2,2,3.179,1,2.03,16,2
