ts,sinal,rot_score,dir_short,below_4h_open,ml_prob,dist_4h_pct,div_cl,rsi_mnq,adx_mnq,sma50_align,bb_w_cl,regime_bear,dist_sma200,hour,dow
2026-05-27 13:00:00,AGUARDAR,44.1,0,1,0.5056,-0.091,36.72,68.7,39.6,2,3.424,0,2.77,13,2
2026-05-27 13:00:00,AGUARDAR,58.8,0,1,0.5894,-0.66,22.19,55.8,37.7,2,3.378,0,2.19,13,2
2026-05-27 13:00:00,AGUARDAR,52.9,0,1,0.5927,-0.968,17.06,50.7,37.0,2,3.378,0,1.87,13,2
2026-05-27 13:00:00,AGUARDAR,52.9,0,1,0.5806,-0.901,19.54,51.7,36.8,2,3.417,0,1.94,13,2
2026-05-27 13:00:00,AGUARDAR,52.9,0,1,0.5339,-0.732,21.21,54.6,36.8,2,3.386,0,2.12,13,2
2026-05-27 13:00:00,AGUARDAR,52.9,0,1,0.4747,-0.729,20.46,54.6,36.8,2,3.366,0,2.12,13,2
2026-05-27 14:00:00,AGUARDAR,73.5,0,1,0.5226,-0.618,22.72,56.4,34.9,2,3.396,0,2.22,14,2
2026-05-27 14:00:00,AGUARDAR,67.6,0,1,0.4851,-0.868,17.78,52.1,34.9,2,3.373,0,1.96,14,2
2026-05-27 14:00:00,AGUARDAR,55.9,0,1,0.4873,-0.82,18.1,52.9,34.9,2,3.362,0,2.01,14,2
2026-05-27 14:00:00,AGUARDAR,55.9,0,1,0.545,-0.757,20.58,54.0,34.9,2,3.406,0,2.08,14,2
2026-05-27 14:00:00,AGUARDAR,67.6,0,1,0.4835,-0.938,14.79,51.0,34.9,2,3.334,0,1.89,14,2
2026-05-27 14:00:00,AGUARDAR,67.6,0,1,0.5532,-1.131,14.84,48.1,34.7,2,3.419,0,1.69,14,2
2026-05-27 14:00:00,AGUARDAR,67.6,0,1,0.4875,-1.103,12.64,48.5,34.7,2,3.341,0,1.72,14,2
2026-05-27 14:00:00,AGUARDAR,55.9,0,1,0.4827,-0.9,15.18,51.6,34.7,2,3.329,0,1.93,14,2
2026-05-27 14:00:00,AGUARDAR,67.6,0,1,0.4867,-0.894,12.49,51.7,34.7,2,3.28,0,1.94,14,2
2026-05-27 14:00:00,AGUARDAR,67.6,0,1,0.4898,-0.917,12.72,51.3,34.7,2,3.29,0,1.91,14,2
