entry_time,hour,exit_time,bars_held,result,entry_mnq,exit_mnq,entry_cl,exit_cl,pnl_mnq_pct,pnl_cl_pct,pnl_total_pct,ml_conf
2022-03-16 00:00:00,0,2022-04-22 00:00:00,21,LOSS,13953.0,13382.035714285714,95.04000091552734,102.06999969482422,-4.09,7.4,-11.49,0.622
2022-03-17 00:00:00,0,2022-04-22 00:00:00,20,LOSS,14111.75,13560.214285714286,102.9800033569336,102.06999969482422,-3.91,-0.88,-3.02,0.644
2022-03-23 00:00:00,0,2022-04-12 00:00:00,11,LOSS,14447.0,13908.807826450893,114.93000030517578,100.5999984741211,-3.73,-12.47,8.74,0.632
2022-05-24 00:00:00,0,2022-06-14 00:00:00,7,LOSS,11771.0,11235.75,109.7699966430664,118.93000030517578,-4.55,8.34,-12.89,0.604
2022-07-22 00:00:00,0,2022-09-07 00:00:00,25,LOSS,12423.5,11966.242117745536,94.69999694824219,81.94000244140625,-3.68,-13.47,9.79,0.672
2022-10-19 00:00:00,0,2022-11-03 00:00:00,9,LOSS,11153.25,10720.07142857143,85.55000305175781,88.16999816894531,-3.88,3.06,-6.95,0.627
2023-01-19 00:00:00,0,2023-05-10 00:00:00,53,WIN,11356.5,13435.517159598214,80.33000183105469,72.55999755859375,18.31,-9.67,27.98,0.609
2023-03-16 00:00:00,0,2023-06-01 00:00:00,42,WIN,12583.0,14439.464285714286,68.3499984741211,70.0999984741211,14.75,2.56,12.19,0.612
2023-03-17 00:00:00,0,2023-05-26 00:00:00,39,WIN,12594.650390625,14363.900390625,66.73999786376953,72.66999816894531,14.05,8.89,5.16,0.63
2023-03-22 00:00:00,0,2023-06-02 00:00:00,40,WIN,12707.0,14535.11411830357,70.9000015258789,71.73999786376953,14.39,1.18,13.2,0.662
2023-03-23 00:00:00,0,2023-06-13 00:00:00,40,WIN,12854.0,14733.328404017857,69.95999908447266,69.41999816894531,14.62,-0.77,15.39,0.628
2023-03-29 00:00:00,0,2023-06-13 00:00:00,37,WIN,12965.0,14773.61411830357,72.97000122070312,69.41999816894531,13.95,-4.87,18.81,0.604
2023-05-02 00:00:00,0,2023-06-02 00:00:00,18,WIN,13184.5,14542.321428571428,71.66000366210938,71.73999786376953,10.3,0.11,10.19,0.642
2023-05-03 00:00:00,0,2023-06-01 00:00:00,16,WIN,13100.75,14454.928571428572,68.5999984741211,70.0999984741211,10.34,2.19,8.15,0.719
2023-05-05 00:00:00,0,2023-06-13 00:00:00,16,WIN,13317.75,14682.535714285714,71.33999633789062,69.41999816894531,10.25,-2.69,12.94,0.681
2023-05-10 00:00:00,0,2023-06-13 00:00:00,14,WIN,13409.5,14706.464285714286,72.55999755859375,69.41999816894531,9.67,-4.33,14.0,0.609
2023-05-11 00:00:00,0,2023-06-13 00:00:00,13,WIN,13446.5,14722.142857142857,70.87000274658203,69.41999816894531,9.49,-2.05,11.53,0.642
2023-05-12 00:00:00,0,2023-06-13 00:00:00,12,WIN,13396.25,14681.642857142857,70.04000091552734,69.41999816894531,9.6,-0.89,10.48,0.635
2023-05-16 00:00:00,0,2023-06-13 00:00:00,11,WIN,13483.25,14760.178571428572,70.86000061035156,69.41999816894531,9.47,-2.03,11.5,0.607
2023-05-23 00:00:00,0,2023-06-13 00:00:00,7,WIN,13728.75,14927.678571428572,72.91000366210938,69.41999816894531,8.73,-4.79,13.52,0.611
2023-05-31 00:00:00,0,2023-07-13 00:00:00,14,WIN,14300.5,15710.714285714286,68.08999633789062,76.88999938964844,9.86,12.92,-3.06,0.628
2023-06-21 00:00:00,0,2023-08-17 00:00:00,27,LOSS,15044.0,14761.188546316964,72.52999877929688,80.38999938964844,-1.88,10.84,-12.72,0.626
2023-06-23 00:00:00,0,2023-08-17 00:00:00,25,LOSS,15058.25,14768.72426060268,69.16000366210938,80.38999938964844,-1.92,16.24,-18.16,0.618
2023-11-01 00:00:00,0,2023-12-13 00:00:00,23,WIN,14744.5,16418.607142857145,80.44000244140625,69.47000122070312,11.35,-13.64,24.99,0.606
2023-11-02 00:00:00,0,2023-12-14 00:00:00,23,WIN,14998.0,16672.0,82.45999908447266,71.58000183105469,11.16,-13.19,24.36,0.624
2023-11-03 00:00:00,0,2023-12-19 00:00:00,24,WIN,15178.75,16912.642857142855,80.51000213623047,73.44000244140625,11.42,-8.78,20.2,0.618
2023-11-07 00:00:00,0,2023-12-27 06:00:00,72,EXPIRED,15374.25,17091.5,77.37000274658203,75.55999755859375,11.17,-2.34,13.51,0.614
2023-11-09 00:00:00,0,2023-12-19 00:00:00,21,WIN,15256.0,16890.142857142855,75.73999786376953,73.44000244140625,10.71,-3.04,13.75,0.655
2023-12-07 00:00:00,0,2023-12-28 00:00:00,72,EXPIRED,16038.75,17133.75,69.33999633789062,74.13999938964844,6.83,6.92,-0.1,0.647
2023-12-12 00:00:00,0,2023-12-28 02:00:00,72,EXPIRED,16362.75,17152.5,68.61000061035156,74.16000366210938,4.83,8.09,-3.26,0.667
2023-12-13 00:00:00,0,2023-12-28 03:00:00,72,EXPIRED,16563.75,17144.0,69.47000122070312,74.05000305175781,3.5,6.59,-3.09,0.684
2023-12-14 00:00:00,0,2023-12-28 04:00:00,72,EXPIRED,16541.5,17141.0,71.58000183105469,74.0,3.62,3.38,0.24,0.686
2023-12-15 00:00:00,0,2023-12-28 05:00:00,72,EXPIRED,16530.23046875,17147.0,71.43000030517578,74.16999816894531,3.73,3.84,-0.1,0.655
2024-08-09 00:00:00,0,2024-08-09 12:00:00,12,LOSS,18519.5,18396.714285714286,76.04000091552734,76.52999877929688,-0.66,0.64,-1.31,0.606
