asset,entry_time,exit_time,direction,result,ret_r,pnl_pct,entry_price,stop_price,target_price,atr,conf
mnq,2024-01-22 10:00:00,2024-01-22 12:00:00,SHORT,LOSS,-1.5,-1.5,17535.75,17581.79,17443.66,30.7,0.502
mnq,2024-02-01 13:00:00,2024-02-01 14:00:00,LONG,LOSS,-1.5,-1.5,17336.0,17285.32,17437.36,33.79,0.507
mnq,2024-02-01 14:00:00,2024-02-01 17:00:00,LONG,WIN,3.0,3.0,17301.75,17247.94,17409.38,35.88,0.506
mnq,2024-03-05 08:00:00,2024-03-05 14:00:00,SHORT,WIN,3.0,3.0,18145.75,18203.02,18031.21,38.18,0.529
mnq,2024-03-07 08:00:00,2024-03-07 11:00:00,LONG,WIN,3.0,3.0,17974.25,17899.81,18123.12,49.62,0.503
mnq,2024-03-13 08:00:00,2024-03-14 09:00:00,LONG,EXPIRED,0.75,0.745,18212.25,17799.54,19037.68,275.14,0.528
mnq,2024-03-15 11:00:00,2024-03-18 13:00:00,SHORT,EXPIRED,-0.03,-0.025,18281.75,18695.96,17453.32,276.14,0.512
mnq,2024-04-12 09:00:00,2024-04-12 12:00:00,SHORT,WIN,3.0,3.0,18425.25,18460.42,18354.91,23.45,0.501
mnq,2024-04-17 10:00:00,2024-04-17 14:00:00,SHORT,WIN,3.0,3.0,17921.75,17983.97,17797.3,41.48,0.509
mnq,2024-04-17 14:00:00,2024-04-17 16:00:00,SHORT,WIN,3.0,3.0,17801.75,17882.51,17640.23,53.84,0.51
mnq,2024-04-17 17:00:00,2024-04-18 18:00:00,SHORT,EXPIRED,2.75,2.746,17742.0,17856.03,17513.95,76.02,0.501
mnq,2024-04-18 18:00:00,2024-04-19 01:00:00,SHORT,WIN,3.0,3.0,17533.25,17636.54,17326.68,68.86,0.522
mnq,2024-04-19 20:00:00,2024-04-22 18:00:00,LONG,WIN,3.0,3.0,17180.0,17054.46,17431.09,83.7,0.51
mnq,2024-04-23 08:00:00,2024-04-23 13:00:00,LONG,WIN,3.0,3.0,17383.25,17324.43,17500.89,39.21,0.522
