combo,n,wr_1h,edge_1h,wr_4h,edge_4h
rsi_mnq_abaixo_40 + open_w_acima_w_ant_es + above_sma50_es,11,0.5454545454545454,0.2992981001090479,0.8181818181818182,0.1447572532215209
rsi_mnq_abaixo_40 + above_sma50_es + above_ema20_cl,12,0.5,0.2538435546545025,0.75,0.07657543503970266
rsi_mnq_abaixo_40 + open_4h_acima_4h_ant_cl + above_sma50_es,10,0.5,0.2538435546545025,0.8,0.1265754350397027
rsi_mnq_abaixo_40 + above_sma50_es + above_sma50_cl,12,0.5,0.2538435546545025,0.75,0.07657543503970266
rsi_mnq_abaixo_40 + adx_cl_alto + above_sma50_es,13,0.46153846153846156,0.21538201619296402,0.6923076923076923,0.018883127347394946
rsi_mnq_abaixo_40 + open_mnq_acima_es + above_sma50_es,13,0.46153846153846156,0.21538201619296402,0.6923076923076923,0.018883127347394946
rsi_mnq_abaixo_40 + open_mnq_acima_cl + above_sma50_es,13,0.46153846153846156,0.21538201619296402,0.6923076923076923,0.018883127347394946
rsi_mnq_abaixo_40 + adx_mnq_alto + above_sma50_es,13,0.46153846153846156,0.21538201619296402,0.6923076923076923,0.018883127347394946
rsi_mnq_abaixo_40 + open_mnq_abaixo_btc + above_sma50_es,13,0.46153846153846156,0.21538201619296402,0.6923076923076923,0.018883127347394946
es_mnq_mesmo_sentido + rsi_mnq_abaixo_40 + above_sma50_es,12,0.4166666666666667,0.17051022132116914,0.6666666666666666,-0.006757898293630715
rsi_mnq_abaixo_40 + open_1h_acima_close_ant_btc + above_sma50_es,10,0.4,0.15384355465450247,0.7,0.02657543503970261
es_btc_discordam_mnq + open_d_acima_d_ant_es + open_d_acima_d_ant_cl,113,0.3805309734513274,0.13437452810582987,0.7256637168141593,0.052239151853861965
es_btc_discordam_mnq + open_d_acima_d_ant_es + is_us,109,0.3669724770642202,0.12081603171872266,0.7706422018348624,0.09721763687456508
es_btc_discordam_mnq + rsi_mnq_acima_60 + open_d_acima_d_ant_es,90,0.36666666666666664,0.12051022132116909,0.8111111111111111,0.13768654615081377
es_btc_discordam_mnq + open_d_acima_d_ant_mnq + open_d_acima_d_ant_cl,123,0.36585365853658536,0.11969721319108781,0.7398373983739838,0.06641283341368642
es_btc_discordam_mnq + open_4h_acima_4h_ant_es + open_d_acima_d_ant_cl,140,0.36428571428571427,0.11812926894021672,0.7214285714285714,0.048004006468274074
es_btc_concordam_mnq + rsi_mnq_abaixo_40 + above_sma50_es,11,0.36363636363636365,0.1174799182908661,0.6363636363636364,-0.03706092859666099
btc_mnq_mesmo_sentido + rsi_mnq_abaixo_40 + above_sma50_es,11,0.36363636363636365,0.1174799182908661,0.6363636363636364,-0.03706092859666099
es_mnq_oposto + open_1h_acima_close_ant_es + open_d_acima_d_ant_cl,141,0.3617021276595745,0.11554568231407694,0.7375886524822695,0.06416408752197211
es_mnq_oposto + open_1h_acima_close_ant_es + is_us,130,0.36153846153846153,0.11538201619296398,0.7692307692307693,0.09580620427047193
es_btc_discordam_mnq + open_d_acima_d_ant_mnq + above_sma50_btc,158,0.36075949367088606,0.1146030483253885,0.7468354430379747,0.07341087807767732
es_btc_discordam_mnq + rsi_mnq_abaixo_40 + open_w_acima_w_ant_mnq,25,0.36,0.11384355465450244,0.68,0.006575435039702704
es_btc_discordam_mnq + open_d_acima_d_ant_mnq + is_us,120,0.35833333333333334,0.11217688798783579,0.7833333333333333,0.10990876837303598
es_mnq_oposto + open_4h_acima_4h_ant_es + open_d_acima_d_ant_cl,282,0.35815602836879434,0.1119995830232968,0.7411347517730497,0.06771018681275232
es_btc_discordam_mnq + rsi_mnq_acima_60 + is_us,70,0.35714285714285715,0.1109864117973596,0.7857142857142857,0.11228972075398835
es_btc_discordam_mnq + open_d_acima_d_ant_mnq + above_ema20_btc,154,0.35714285714285715,0.1109864117973596,0.7727272727272727,0.09930270776697536
es_mnq_oposto + btc_mnq_mesmo_sentido + open_1h_acima_close_ant_es,171,0.3567251461988304,0.11056870085333284,0.7894736842105263,0.11604911925022898
es_btc_discordam_mnq + open_d_acima_d_ant_es + above_ema20_btc,144,0.3541666666666667,0.10801022132116914,0.7638888888888888,0.0904643239285915
es_btc_discordam_mnq + open_d_acima_d_ant_cl + above_ema20_btc,113,0.35398230088495575,0.1078258555394582,0.7433628318584071,0.06993826689810978
es_mnq_oposto + open_d_acima_d_ant_es + open_d_acima_d_ant_cl,252,0.3531746031746032,0.10701815782910565,0.7380952380952381,0.06467067313494079
es_mnq_oposto + open_d_acima_d_ant_cl + above_ema20_es,302,0.3509933774834437,0.10483693213794618,0.7615894039735099,0.08816483901321259
es_mnq_oposto + open_1h_acima_close_ant_es + above_ema20_es,211,0.35071090047393366,0.10455445512843611,0.7772511848341233,0.10382661987382591
es_btc_discordam_mnq + open_d_acima_d_ant_cl + open_w_acima_w_ant_mnq,97,0.35051546391752575,0.1043590185720282,0.6907216494845361,0.017297084524238726
es_btc_discordam_mnq + open_d_acima_d_ant_mnq + above_ema20_cl,126,0.3492063492063492,0.10304990386085164,0.7301587301587301,0.05673416519843277
es_btc_discordam_mnq + open_d_acima_d_ant_es + above_sma50_btc,149,0.348993288590604,0.10283684324510647,0.7315436241610739,0.058119059200776535
es_mnq_oposto + open_d_acima_d_ant_mnq + open_d_acima_d_ant_cl,264,0.3484848484848485,0.10232840313935096,0.75,0.07657543503970266
