asset,trades,w,l,e,wr,avg,ev,score,trades_ano,ml_c,stop,targ,bars,dir,hours
btc,2896,964,1914,18,33.3,0.05,0.05,2.66,601.7,0.0,0.3,0.75,6,both,"8,12,16,20"
btc,1543,523,1010,10,33.9,0.056,0.056,2.2,320.6,0.0,0.3,0.75,6,long,"8,12,16,20"
btc,1353,441,904,8,32.6,0.042,0.042,1.55,281.1,0.0,0.3,0.75,6,short,"8,12,16,20"
btc,2896,964,1914,18,33.3,0.05,0.05,2.66,601.7,0.1,0.3,0.75,6,both,"8,12,16,20"
btc,1543,523,1010,10,33.9,0.056,0.056,2.2,320.6,0.1,0.3,0.75,6,long,"8,12,16,20"
btc,1353,441,904,8,32.6,0.042,0.042,1.55,281.1,0.1,0.3,0.75,6,short,"8,12,16,20"
btc,2829,948,1863,18,33.5,0.052,0.052,2.76,587.8,0.2,0.3,0.75,6,both,"8,12,16,20"
btc,1506,513,983,10,34.1,0.058,0.058,2.24,312.9,0.2,0.3,0.75,6,long,"8,12,16,20"
btc,1323,435,880,8,32.9,0.045,0.045,1.65,274.9,0.2,0.3,0.75,6,short,"8,12,16,20"
btc,2660,891,1753,16,33.5,0.052,0.052,2.67,552.7,0.3,0.3,0.75,6,both,"8,12,16,20"
btc,1404,476,919,9,33.9,0.056,0.056,2.1,291.7,0.3,0.3,0.75,6,long,"8,12,16,20"
btc,1256,415,834,7,33.0,0.047,0.047,1.66,261.0,0.3,0.3,0.75,6,short,"8,12,16,20"
btc,1788,629,1148,11,35.2,0.069,0.069,2.93,371.5,0.4,0.3,0.75,6,both,"8,12,16,20"
btc,974,338,629,7,34.7,0.064,0.064,2.01,202.4,0.4,0.3,0.75,6,long,"8,12,16,20"
btc,814,291,519,4,35.7,0.075,0.075,2.15,169.1,0.4,0.3,0.75,6,short,"8,12,16,20"
btc,618,233,382,3,37.7,0.096,0.096,2.38,128.4,0.5,0.3,0.75,6,both,"8,12,16,20"
btc,399,143,254,2,35.8,0.076,0.076,1.52,82.9,0.5,0.3,0.75,6,long,"8,12,16,20"
btc,219,90,128,1,41.1,0.132,0.132,1.95,45.5,0.5,0.3,0.75,6,short,"8,12,16,20"
btc,2896,969,1916,11,33.5,0.051,0.051,2.76,601.7,0.0,0.3,0.75,8,both,"8,12,16,20"
btc,1543,525,1011,7,34.0,0.057,0.057,2.25,320.6,0.0,0.3,0.75,8,long,"8,12,16,20"
btc,1353,444,905,4,32.8,0.045,0.045,1.64,281.1,0.0,0.3,0.75,8,short,"8,12,16,20"
btc,2896,969,1916,11,33.5,0.051,0.051,2.76,601.7,0.1,0.3,0.75,8,both,"8,12,16,20"
