asset,trades,w,l,e,wr,avg,ev,score,trades_ano,ml_c,stop,targ,bars,dir,hours
cl,2284,632,1555,97,27.7,-0.009,-0.009,-0.45,476.4,0.0,0.3,0.75,6,both,"8,12,16,20"
cl,1052,280,719,53,26.6,-0.021,-0.021,-0.67,219.4,0.0,0.3,0.75,6,long,"8,12,16,20"
cl,1232,352,836,44,28.6,0.0,0.0,0.0,257.0,0.0,0.3,0.75,6,short,"8,12,16,20"
cl,2284,632,1555,97,27.7,-0.009,-0.009,-0.45,476.4,0.1,0.3,0.75,6,both,"8,12,16,20"
cl,1052,280,719,53,26.6,-0.021,-0.021,-0.67,219.4,0.1,0.3,0.75,6,long,"8,12,16,20"
cl,1232,352,836,44,28.6,0.0,0.0,0.0,257.0,0.1,0.3,0.75,6,short,"8,12,16,20"
cl,2274,632,1548,94,27.8,-0.008,-0.008,-0.39,474.3,0.2,0.3,0.75,6,both,"8,12,16,20"
cl,1046,280,714,52,26.8,-0.019,-0.019,-0.61,218.2,0.2,0.3,0.75,6,long,"8,12,16,20"
cl,1228,352,834,42,28.7,0.001,0.001,0.03,256.2,0.2,0.3,0.75,6,short,"8,12,16,20"
cl,1966,570,1345,51,29.0,0.004,0.004,0.2,410.1,0.3,0.3,0.75,6,both,"8,12,16,20"
cl,870,246,597,27,28.3,-0.003,-0.003,-0.09,181.5,0.3,0.3,0.75,6,long,"8,12,16,20"
cl,1096,324,748,24,29.6,0.01,0.01,0.34,228.6,0.3,0.3,0.75,6,short,"8,12,16,20"
cl,1291,370,899,22,28.7,0.001,0.001,0.03,269.3,0.4,0.3,0.75,6,both,"8,12,16,20"
cl,549,152,387,10,27.7,-0.009,-0.009,-0.22,114.5,0.4,0.3,0.75,6,long,"8,12,16,20"
cl,742,218,512,12,29.4,0.008,0.008,0.23,154.8,0.4,0.3,0.75,6,short,"8,12,16,20"
cl,486,145,329,12,29.8,0.013,0.013,0.29,101.4,0.5,0.3,0.75,6,both,"8,12,16,20"
cl,190,62,122,6,32.6,0.043,0.043,0.59,39.6,0.5,0.3,0.75,6,long,"8,12,16,20"
cl,296,83,207,6,28.0,-0.006,-0.006,-0.1,61.7,0.5,0.3,0.75,6,short,"8,12,16,20"
cl,2284,654,1559,71,28.6,0.001,0.001,0.03,476.4,0.0,0.3,0.75,8,both,"8,12,16,20"
cl,1052,288,720,44,27.4,-0.013,-0.013,-0.41,219.4,0.0,0.3,0.75,8,long,"8,12,16,20"
cl,1232,366,839,27,29.7,0.012,0.012,0.42,257.0,0.0,0.3,0.75,8,short,"8,12,16,20"
cl,2284,654,1559,71,28.6,0.001,0.001,0.03,476.4,0.1,0.3,0.75,8,both,"8,12,16,20"
cl,1052,288,720,44,27.4,-0.013,-0.013,-0.41,219.4,0.1,0.3,0.75,8,long,"8,12,16,20"
cl,1232,366,839,27,29.7,0.012,0.012,0.42,257.0,0.1,0.3,0.75,8,short,"8,12,16,20"
cl,2274,654,1552,68,28.8,0.002,0.002,0.09,474.3,0.2,0.3,0.75,8,both,"8,12,16,20"
cl,1046,288,715,43,27.5,-0.011,-0.011,-0.35,218.2,0.2,0.3,0.75,8,long,"8,12,16,20"
cl,1228,366,837,25,29.8,0.013,0.013,0.45,256.2,0.2,0.3,0.75,8,short,"8,12,16,20"
cl,1966,584,1347,35,29.7,0.012,0.012,0.53,410.1,0.3,0.3,0.75,8,both,"8,12,16,20"
cl,870,250,597,23,28.7,0.002,0.002,0.05,181.5,0.3,0.3,0.75,8,long,"8,12,16,20"
cl,1096,334,750,12,30.5,0.02,0.02,0.66,228.6,0.3,0.3,0.75,8,short,"8,12,16,20"
cl,1291,376,901,14,29.1,0.006,0.006,0.21,269.3,0.4,0.3,0.75,8,both,"8,12,16,20"
cl,549,155,387,7,28.2,-0.004,-0.004,-0.08,114.5,0.4,0.3,0.75,8,long,"8,12,16,20"
cl,742,221,514,7,29.8,0.013,0.013,0.35,154.8,0.4,0.3,0.75,8,short,"8,12,16,20"
cl,486,150,330,6,30.9,0.024,0.024,0.53,101.4,0.5,0.3,0.75,8,both,"8,12,16,20"
cl,190,65,122,3,34.2,0.059,0.059,0.82,39.6,0.5,0.3,0.75,8,long,"8,12,16,20"
cl,296,85,208,3,28.7,0.002,0.002,0.03,61.7,0.5,0.3,0.75,8,short,"8,12,16,20"
cl,2284,687,1590,7,30.1,0.016,0.016,0.76,476.4,0.0,0.3,0.75,12,both,"8,12,16,20"
cl,1052,309,740,3,29.4,0.008,0.008,0.27,219.4,0.0,0.3,0.75,12,long,"8,12,16,20"
cl,1232,378,850,4,30.7,0.022,0.022,0.78,257.0,0.0,0.3,0.75,12,short,"8,12,16,20"
cl,2284,687,1590,7,30.1,0.016,0.016,0.76,476.4,0.1,0.3,0.75,12,both,"8,12,16,20"
cl,1052,309,740,3,29.4,0.008,0.008,0.27,219.4,0.1,0.3,0.75,12,long,"8,12,16,20"
cl,1232,378,850,4,30.7,0.022,0.022,0.78,257.0,0.1,0.3,0.75,12,short,"8,12,16,20"
cl,2274,686,1581,7,30.2,0.017,0.017,0.8,474.3,0.2,0.3,0.75,12,both,"8,12,16,20"
cl,1046,309,734,3,29.5,0.01,0.01,0.33,218.2,0.2,0.3,0.75,12,long,"8,12,16,20"
cl,1228,377,847,4,30.7,0.022,0.022,0.78,256.2,0.2,0.3,0.75,12,short,"8,12,16,20"
cl,1966,604,1357,5,30.7,0.023,0.023,1.0,410.1,0.3,0.3,0.75,12,both,"8,12,16,20"
cl,870,265,602,3,30.5,0.02,0.02,0.58,181.5,0.3,0.3,0.75,12,long,"8,12,16,20"
cl,1096,339,755,2,30.9,0.025,0.025,0.82,228.6,0.3,0.3,0.75,12,short,"8,12,16,20"
cl,1291,385,904,2,29.8,0.013,0.013,0.47,269.3,0.4,0.3,0.75,12,both,"8,12,16,20"
cl,549,160,389,0,29.1,0.006,0.006,0.14,114.5,0.4,0.3,0.75,12,long,"8,12,16,20"
cl,742,225,515,2,30.3,0.018,0.018,0.5,154.8,0.4,0.3,0.75,12,short,"8,12,16,20"
cl,486,154,330,2,31.7,0.033,0.033,0.72,101.4,0.5,0.3,0.75,12,both,"8,12,16,20"
cl,190,68,122,0,35.8,0.076,0.076,1.04,39.6,0.5,0.3,0.75,12,long,"8,12,16,20"
cl,296,86,208,2,29.1,0.005,0.005,0.09,61.7,0.5,0.3,0.75,12,short,"8,12,16,20"
cl,2284,693,1591,0,30.3,0.019,0.019,0.89,476.4,0.0,0.3,0.75,16,both,"8,12,16,20"
cl,1052,311,741,0,29.6,0.01,0.01,0.34,219.4,0.0,0.3,0.75,16,long,"8,12,16,20"
cl,1232,382,850,0,31.0,0.026,0.026,0.9,257.0,0.0,0.3,0.75,16,short,"8,12,16,20"
cl,2284,693,1591,0,30.3,0.019,0.019,0.89,476.4,0.1,0.3,0.75,16,both,"8,12,16,20"
cl,1052,311,741,0,29.6,0.01,0.01,0.34,219.4,0.1,0.3,0.75,16,long,"8,12,16,20"
cl,1232,382,850,0,31.0,0.026,0.026,0.9,257.0,0.1,0.3,0.75,16,short,"8,12,16,20"
cl,2274,692,1582,0,30.4,0.02,0.02,0.93,474.3,0.2,0.3,0.75,16,both,"8,12,16,20"
cl,1046,311,735,0,29.7,0.012,0.012,0.39,218.2,0.2,0.3,0.75,16,long,"8,12,16,20"
cl,1228,381,847,0,31.0,0.026,0.026,0.9,256.2,0.2,0.3,0.75,16,short,"8,12,16,20"
cl,1966,608,1358,0,30.9,0.025,0.025,1.1,410.1,0.3,0.3,0.75,16,both,"8,12,16,20"
cl,870,267,603,0,30.7,0.022,0.022,0.66,181.5,0.3,0.3,0.75,16,long,"8,12,16,20"
cl,1096,341,755,0,31.1,0.027,0.027,0.88,228.6,0.3,0.3,0.75,16,short,"8,12,16,20"
cl,1291,387,904,0,30.0,0.015,0.015,0.53,269.3,0.4,0.3,0.75,16,both,"8,12,16,20"
cl,549,160,389,0,29.1,0.006,0.006,0.14,114.5,0.4,0.3,0.75,16,long,"8,12,16,20"
cl,742,227,515,0,30.6,0.021,0.021,0.58,154.8,0.4,0.3,0.75,16,short,"8,12,16,20"
cl,486,156,330,0,32.1,0.037,0.037,0.82,101.4,0.5,0.3,0.75,16,both,"8,12,16,20"
cl,190,68,122,0,35.8,0.076,0.076,1.04,39.6,0.5,0.3,0.75,16,long,"8,12,16,20"
cl,296,88,208,0,29.7,0.012,0.012,0.21,61.7,0.5,0.3,0.75,16,short,"8,12,16,20"
cl,2284,693,1591,0,30.3,0.019,0.019,0.89,476.4,0.0,0.3,0.75,24,both,"8,12,16,20"
cl,1052,311,741,0,29.6,0.01,0.01,0.34,219.4,0.0,0.3,0.75,24,long,"8,12,16,20"
cl,1232,382,850,0,31.0,0.026,0.026,0.9,257.0,0.0,0.3,0.75,24,short,"8,12,16,20"
cl,2284,693,1591,0,30.3,0.019,0.019,0.89,476.4,0.1,0.3,0.75,24,both,"8,12,16,20"
cl,1052,311,741,0,29.6,0.01,0.01,0.34,219.4,0.1,0.3,0.75,24,long,"8,12,16,20"
cl,1232,382,850,0,31.0,0.026,0.026,0.9,257.0,0.1,0.3,0.75,24,short,"8,12,16,20"
cl,2274,692,1582,0,30.4,0.02,0.02,0.93,474.3,0.2,0.3,0.75,24,both,"8,12,16,20"
cl,1046,311,735,0,29.7,0.012,0.012,0.39,218.2,0.2,0.3,0.75,24,long,"8,12,16,20"
cl,1228,381,847,0,31.0,0.026,0.026,0.9,256.2,0.2,0.3,0.75,24,short,"8,12,16,20"
cl,1966,608,1358,0,30.9,0.025,0.025,1.1,410.1,0.3,0.3,0.75,24,both,"8,12,16,20"
cl,870,267,603,0,30.7,0.022,0.022,0.66,181.5,0.3,0.3,0.75,24,long,"8,12,16,20"
cl,1096,341,755,0,31.1,0.027,0.027,0.88,228.6,0.3,0.3,0.75,24,short,"8,12,16,20"
cl,1291,387,904,0,30.0,0.015,0.015,0.53,269.3,0.4,0.3,0.75,24,both,"8,12,16,20"
cl,549,160,389,0,29.1,0.006,0.006,0.14,114.5,0.4,0.3,0.75,24,long,"8,12,16,20"
cl,742,227,515,0,30.6,0.021,0.021,0.58,154.8,0.4,0.3,0.75,24,short,"8,12,16,20"
cl,486,156,330,0,32.1,0.037,0.037,0.82,101.4,0.5,0.3,0.75,24,both,"8,12,16,20"
cl,190,68,122,0,35.8,0.076,0.076,1.04,39.6,0.5,0.3,0.75,24,long,"8,12,16,20"
cl,296,88,208,0,29.7,0.012,0.012,0.21,61.7,0.5,0.3,0.75,24,short,"8,12,16,20"
cl,2284,517,1588,179,22.6,-0.006,-0.006,-0.27,476.4,0.0,0.3,1.0,6,both,"8,12,16,20"
cl,1052,235,730,87,22.3,-0.01,-0.01,-0.31,219.4,0.0,0.3,1.0,6,long,"8,12,16,20"
cl,1232,282,858,92,22.9,-0.002,-0.002,-0.09,257.0,0.0,0.3,1.0,6,short,"8,12,16,20"
cl,2284,517,1588,179,22.6,-0.006,-0.006,-0.27,476.4,0.1,0.3,1.0,6,both,"8,12,16,20"
cl,1052,235,730,87,22.3,-0.01,-0.01,-0.31,219.4,0.1,0.3,1.0,6,long,"8,12,16,20"
cl,1232,282,858,92,22.9,-0.002,-0.002,-0.09,257.0,0.1,0.3,1.0,6,short,"8,12,16,20"
cl,2274,517,1581,176,22.7,-0.004,-0.004,-0.21,474.3,0.2,0.3,1.0,6,both,"8,12,16,20"
cl,1046,235,725,86,22.5,-0.008,-0.008,-0.26,218.2,0.2,0.3,1.0,6,long,"8,12,16,20"
cl,1228,282,856,90,23.0,-0.001,-0.001,-0.05,256.2,0.2,0.3,1.0,6,short,"8,12,16,20"
cl,1966,485,1374,107,24.7,0.021,0.021,0.92,410.1,0.3,0.3,1.0,6,both,"8,12,16,20"
cl,870,215,606,49,24.7,0.021,0.021,0.63,181.5,0.3,0.3,1.0,6,long,"8,12,16,20"
cl,1096,270,768,58,24.6,0.02,0.02,0.67,228.6,0.3,0.3,1.0,6,short,"8,12,16,20"
cl,1291,326,916,49,25.3,0.028,0.028,1.02,269.3,0.4,0.3,1.0,6,both,"8,12,16,20"
cl,549,140,390,19,25.5,0.032,0.032,0.74,114.5,0.4,0.3,1.0,6,long,"8,12,16,20"
cl,742,186,526,30,25.1,0.026,0.026,0.7,154.8,0.4,0.3,1.0,6,short,"8,12,16,20"
cl,486,123,337,26,25.3,0.029,0.029,0.64,101.4,0.5,0.3,1.0,6,both,"8,12,16,20"
cl,190,55,124,11,28.9,0.076,0.076,1.05,39.6,0.5,0.3,1.0,6,long,"8,12,16,20"
cl,296,68,213,15,23.0,-0.001,-0.001,-0.02,61.7,0.5,0.3,1.0,6,short,"8,12,16,20"
cl,2284,550,1596,138,24.1,0.013,0.013,0.62,476.4,0.0,0.3,1.0,8,both,"8,12,16,20"
cl,1052,244,731,77,23.2,0.002,0.002,0.05,219.4,0.0,0.3,1.0,8,long,"8,12,16,20"
cl,1232,306,865,61,24.8,0.023,0.023,0.8,257.0,0.0,0.3,1.0,8,short,"8,12,16,20"
cl,2284,550,1596,138,24.1,0.013,0.013,0.62,476.4,0.1,0.3,1.0,8,both,"8,12,16,20"
cl,1052,244,731,77,23.2,0.002,0.002,0.05,219.4,0.1,0.3,1.0,8,long,"8,12,16,20"
cl,1232,306,865,61,24.8,0.023,0.023,0.8,257.0,0.1,0.3,1.0,8,short,"8,12,16,20"
cl,2274,550,1589,135,24.2,0.014,0.014,0.69,474.3,0.2,0.3,1.0,8,both,"8,12,16,20"
cl,1046,244,726,76,23.3,0.003,0.003,0.11,218.2,0.2,0.3,1.0,8,long,"8,12,16,20"
cl,1228,306,863,59,24.9,0.024,0.024,0.84,256.2,0.2,0.3,1.0,8,short,"8,12,16,20"
cl,1966,511,1377,78,26.0,0.038,0.038,1.68,410.1,0.3,0.3,1.0,8,both,"8,12,16,20"
cl,870,222,606,42,25.5,0.032,0.032,0.94,181.5,0.3,0.3,1.0,8,long,"8,12,16,20"
cl,1096,289,771,36,26.4,0.043,0.043,1.42,228.6,0.3,0.3,1.0,8,short,"8,12,16,20"
cl,1291,339,919,33,26.3,0.041,0.041,1.49,269.3,0.4,0.3,1.0,8,both,"8,12,16,20"
cl,549,145,390,14,26.4,0.043,0.043,1.02,114.5,0.4,0.3,1.0,8,long,"8,12,16,20"
cl,742,194,529,19,26.1,0.04,0.04,1.09,154.8,0.4,0.3,1.0,8,short,"8,12,16,20"
cl,486,131,339,16,27.0,0.05,0.05,1.11,101.4,0.5,0.3,1.0,8,both,"8,12,16,20"
