asset,trades,w,l,e,wr,avg,ev,score,trades_ano,ml_c,stop,targ,bars,dir,hours
es,2309,632,1610,67,27.4,-0.013,-0.013,-0.61,482.5,0.0,0.3,0.75,6,both,"8,12,16,20"
es,1151,328,779,44,28.5,-0.001,-0.001,-0.03,240.5,0.0,0.3,0.75,6,long,"8,12,16,20"
es,1158,304,831,23,26.3,-0.024,-0.024,-0.83,242.0,0.0,0.3,0.75,6,short,"8,12,16,20"
es,2309,632,1610,67,27.4,-0.013,-0.013,-0.61,482.5,0.1,0.3,0.75,6,both,"8,12,16,20"
es,1151,328,779,44,28.5,-0.001,-0.001,-0.03,240.5,0.1,0.3,0.75,6,long,"8,12,16,20"
es,1158,304,831,23,26.3,-0.024,-0.024,-0.83,242.0,0.1,0.3,0.75,6,short,"8,12,16,20"
es,2298,629,1602,67,27.4,-0.013,-0.013,-0.6,480.2,0.2,0.3,0.75,6,both,"8,12,16,20"
es,1147,327,776,44,28.5,-0.001,-0.001,-0.02,239.7,0.2,0.3,0.75,6,long,"8,12,16,20"
es,1151,302,826,23,26.2,-0.025,-0.025,-0.83,240.5,0.2,0.3,0.75,6,short,"8,12,16,20"
es,2056,564,1455,37,27.4,-0.012,-0.012,-0.54,429.6,0.3,0.3,0.75,6,both,"8,12,16,20"
es,1014,290,698,26,28.6,0.0,0.0,0.01,211.9,0.3,0.3,0.75,6,long,"8,12,16,20"
es,1042,274,757,11,26.3,-0.024,-0.024,-0.77,217.7,0.3,0.3,0.75,6,short,"8,12,16,20"
es,922,259,654,9,28.1,-0.005,-0.005,-0.15,192.7,0.4,0.3,0.75,6,both,"8,12,16,20"
es,442,134,302,6,30.3,0.018,0.018,0.39,92.4,0.4,0.3,0.75,6,long,"8,12,16,20"
es,480,125,352,3,26.0,-0.027,-0.027,-0.58,100.3,0.4,0.3,0.75,6,short,"8,12,16,20"
es,109,34,72,3,31.2,0.028,0.028,0.29,22.8,0.5,0.3,0.75,6,both,"8,12,16,20"
es,47,16,29,2,34.0,0.057,0.057,0.39,9.8,0.5,0.3,0.75,6,long,"8,12,16,20"
es,62,18,43,1,29.0,0.005,0.005,0.04,13.0,0.5,0.3,0.75,6,short,"8,12,16,20"
es,2309,645,1622,42,27.9,-0.007,-0.007,-0.32,482.5,0.0,0.3,0.75,8,both,"8,12,16,20"
es,1151,336,788,27,29.2,0.007,0.007,0.22,240.5,0.0,0.3,0.75,8,long,"8,12,16,20"
