asset,trades,w,l,e,wr,avg,ev,score,trades_ano,ml_c,stop,targ,bars,dir,hours
mgc,2318,727,1549,42,31.4,0.029,0.029,1.41,484.1,0.0,0.3,0.75,6,both,"8,12,16,20"
mgc,1198,412,759,27,34.4,0.061,0.061,2.11,250.2,0.0,0.3,0.75,6,long,"8,12,16,20"
mgc,1120,315,790,15,28.1,-0.005,-0.005,-0.16,233.9,0.0,0.3,0.75,6,short,"8,12,16,20"
mgc,2318,727,1549,42,31.4,0.029,0.029,1.41,484.1,0.1,0.3,0.75,6,both,"8,12,16,20"
mgc,1198,412,759,27,34.4,0.061,0.061,2.11,250.2,0.1,0.3,0.75,6,long,"8,12,16,20"
mgc,1120,315,790,15,28.1,-0.005,-0.005,-0.16,233.9,0.1,0.3,0.75,6,short,"8,12,16,20"
mgc,2304,725,1537,42,31.5,0.03,0.03,1.46,481.2,0.2,0.3,0.75,6,both,"8,12,16,20"
mgc,1189,410,752,27,34.5,0.062,0.062,2.14,248.3,0.2,0.3,0.75,6,long,"8,12,16,20"
mgc,1115,315,785,15,28.3,-0.003,-0.003,-0.11,232.8,0.2,0.3,0.75,6,short,"8,12,16,20"
mgc,2153,686,1436,31,31.9,0.035,0.035,1.6,449.6,0.3,0.3,0.75,6,both,"8,12,16,20"
mgc,1105,386,698,21,34.9,0.067,0.067,2.22,230.8,0.3,0.3,0.75,6,long,"8,12,16,20"
mgc,1048,300,738,10,28.6,0.001,0.001,0.02,218.9,0.3,0.3,0.75,6,short,"8,12,16,20"
mgc,1248,416,816,16,33.3,0.05,0.05,1.77,260.6,0.4,0.3,0.75,6,both,"8,12,16,20"
mgc,589,221,354,14,37.5,0.094,0.094,2.28,123.0,0.4,0.3,0.75,6,long,"8,12,16,20"
mgc,659,195,462,2,29.6,0.011,0.011,0.27,137.6,0.4,0.3,0.75,6,short,"8,12,16,20"
mgc,515,179,333,3,34.8,0.065,0.065,1.47,107.5,0.5,0.3,0.75,6,both,"8,12,16,20"
mgc,215,90,122,3,41.9,0.14,0.14,2.05,44.9,0.5,0.3,0.75,6,long,"8,12,16,20"
mgc,300,89,211,0,29.7,0.012,0.012,0.2,62.7,0.5,0.3,0.75,6,short,"8,12,16,20"
mgc,2318,742,1557,19,32.0,0.036,0.036,1.74,484.1,0.0,0.3,0.75,8,both,"8,12,16,20"
mgc,1198,421,766,11,35.1,0.069,0.069,2.39,250.2,0.0,0.3,0.75,8,long,"8,12,16,20"
mgc,1120,321,791,8,28.7,0.001,0.001,0.03,233.9,0.0,0.3,0.75,8,short,"8,12,16,20"
mgc,2318,742,1557,19,32.0,0.036,0.036,1.74,484.1,0.1,0.3,0.75,8,both,"8,12,16,20"
mgc,1198,421,766,11,35.1,0.069,0.069,2.39,250.2,0.1,0.3,0.75,8,long,"8,12,16,20"
mgc,1120,321,791,8,28.7,0.001,0.001,0.03,233.9,0.1,0.3,0.75,8,short,"8,12,16,20"
mgc,2304,740,1545,19,32.1,0.037,0.037,1.79,481.2,0.2,0.3,0.75,8,both,"8,12,16,20"
mgc,1189,419,759,11,35.2,0.07,0.07,2.41,248.3,0.2,0.3,0.75,8,long,"8,12,16,20"
mgc,1115,321,786,8,28.8,0.002,0.002,0.08,232.8,0.2,0.3,0.75,8,short,"8,12,16,20"
mgc,2153,697,1443,13,32.4,0.04,0.04,1.85,449.6,0.3,0.3,0.75,8,both,"8,12,16,20"
mgc,1105,394,704,7,35.7,0.074,0.074,2.47,230.8,0.3,0.3,0.75,8,long,"8,12,16,20"
mgc,1048,303,739,6,28.9,0.004,0.004,0.12,218.9,0.3,0.3,0.75,8,short,"8,12,16,20"
mgc,1248,422,821,5,33.8,0.055,0.055,1.94,260.6,0.4,0.3,0.75,8,both,"8,12,16,20"
mgc,589,226,359,4,38.4,0.103,0.103,2.5,123.0,0.4,0.3,0.75,8,long,"8,12,16,20"
mgc,659,196,462,1,29.7,0.012,0.012,0.32,137.6,0.4,0.3,0.75,8,short,"8,12,16,20"
mgc,515,180,335,0,35.0,0.067,0.067,1.52,107.5,0.5,0.3,0.75,8,both,"8,12,16,20"
