asset,trades,w,l,e,wr,avg,ev,score,trades_ano,ml_c,stop,targ,bars,dir,hours
mnq,2324,628,1624,72,27.0,-0.016,-0.016,-0.78,484.8,0.0,0.3,0.75,6,both,"8,12,16,20"
mnq,1300,343,910,47,26.4,-0.023,-0.023,-0.83,271.2,0.0,0.3,0.75,6,long,"8,12,16,20"
mnq,1024,285,714,25,27.8,-0.008,-0.008,-0.25,213.6,0.0,0.3,0.75,6,short,"8,12,16,20"
mnq,2324,628,1624,72,27.0,-0.016,-0.016,-0.78,484.8,0.1,0.3,0.75,6,both,"8,12,16,20"
mnq,1300,343,910,47,26.4,-0.023,-0.023,-0.83,271.2,0.1,0.3,0.75,6,long,"8,12,16,20"
mnq,1024,285,714,25,27.8,-0.008,-0.008,-0.25,213.6,0.1,0.3,0.75,6,short,"8,12,16,20"
mnq,2324,628,1624,72,27.0,-0.016,-0.016,-0.78,484.8,0.2,0.3,0.75,6,both,"8,12,16,20"
mnq,1300,343,910,47,26.4,-0.023,-0.023,-0.83,271.2,0.2,0.3,0.75,6,long,"8,12,16,20"
mnq,1024,285,714,25,27.8,-0.008,-0.008,-0.25,213.6,0.2,0.3,0.75,6,short,"8,12,16,20"
mnq,2085,563,1484,38,27.0,-0.016,-0.016,-0.75,434.9,0.3,0.3,0.75,6,both,"8,12,16,20"
mnq,1163,301,833,29,25.9,-0.028,-0.028,-0.96,242.6,0.3,0.3,0.75,6,long,"8,12,16,20"
mnq,922,262,651,9,28.4,-0.002,-0.002,-0.05,192.3,0.3,0.3,0.75,6,short,"8,12,16,20"
mnq,958,272,676,10,28.4,-0.002,-0.002,-0.06,199.8,0.4,0.3,0.75,6,both,"8,12,16,20"
mnq,545,138,400,7,25.3,-0.034,-0.034,-0.8,113.7,0.4,0.3,0.75,6,long,"8,12,16,20"
mnq,413,134,276,3,32.4,0.041,0.041,0.83,86.1,0.4,0.3,0.75,6,short,"8,12,16,20"
mnq,111,45,64,2,40.5,0.126,0.126,1.32,23.2,0.5,0.3,0.75,6,both,"8,12,16,20"
mnq,39,14,23,2,35.9,0.077,0.077,0.48,8.1,0.5,0.3,0.75,6,long,"8,12,16,20"
mnq,72,31,41,0,43.1,0.152,0.152,1.29,15.0,0.5,0.3,0.75,6,short,"8,12,16,20"
mnq,2324,644,1637,43,27.7,-0.009,-0.009,-0.44,484.8,0.0,0.3,0.75,8,both,"8,12,16,20"
mnq,1300,357,919,24,27.5,-0.012,-0.012,-0.42,271.2,0.0,0.3,0.75,8,long,"8,12,16,20"
mnq,1024,287,718,19,28.0,-0.006,-0.006,-0.18,213.6,0.0,0.3,0.75,8,short,"8,12,16,20"
mnq,2324,644,1637,43,27.7,-0.009,-0.009,-0.44,484.8,0.1,0.3,0.75,8,both,"8,12,16,20"
mnq,1300,357,919,24,27.5,-0.012,-0.012,-0.42,271.2,0.1,0.3,0.75,8,long,"8,12,16,20"
mnq,1024,287,718,19,28.0,-0.006,-0.006,-0.18,213.6,0.1,0.3,0.75,8,short,"8,12,16,20"
mnq,2324,644,1637,43,27.7,-0.009,-0.009,-0.44,484.8,0.2,0.3,0.75,8,both,"8,12,16,20"
mnq,1300,357,919,24,27.5,-0.012,-0.012,-0.42,271.2,0.2,0.3,0.75,8,long,"8,12,16,20"
mnq,1024,287,718,19,28.0,-0.006,-0.006,-0.18,213.6,0.2,0.3,0.75,8,short,"8,12,16,20"
mnq,2085,572,1489,24,27.4,-0.012,-0.012,-0.55,434.9,0.3,0.3,0.75,8,both,"8,12,16,20"
mnq,1163,310,836,17,26.7,-0.02,-0.02,-0.69,242.6,0.3,0.3,0.75,8,long,"8,12,16,20"
mnq,922,262,653,7,28.4,-0.002,-0.002,-0.05,192.3,0.3,0.3,0.75,8,short,"8,12,16,20"
mnq,958,274,676,8,28.6,0.0,0.0,0.01,199.8,0.4,0.3,0.75,8,both,"8,12,16,20"
mnq,545,140,400,5,25.7,-0.03,-0.03,-0.71,113.7,0.4,0.3,0.75,8,long,"8,12,16,20"
mnq,413,134,276,3,32.4,0.041,0.041,0.83,86.1,0.4,0.3,0.75,8,short,"8,12,16,20"
mnq,111,45,64,2,40.5,0.126,0.126,1.32,23.2,0.5,0.3,0.75,8,both,"8,12,16,20"
mnq,39,14,23,2,35.9,0.077,0.077,0.48,8.1,0.5,0.3,0.75,8,long,"8,12,16,20"
mnq,72,31,41,0,43.1,0.152,0.152,1.29,15.0,0.5,0.3,0.75,8,short,"8,12,16,20"
mnq,2324,669,1645,10,28.8,0.002,0.002,0.11,484.8,0.0,0.3,0.75,12,both,"8,12,16,20"
mnq,1300,370,925,5,28.5,-0.001,-0.001,-0.04,271.2,0.0,0.3,0.75,12,long,"8,12,16,20"
mnq,1024,299,720,5,29.2,0.007,0.007,0.21,213.6,0.0,0.3,0.75,12,short,"8,12,16,20"
mnq,2324,669,1645,10,28.8,0.002,0.002,0.11,484.8,0.1,0.3,0.75,12,both,"8,12,16,20"
mnq,1300,370,925,5,28.5,-0.001,-0.001,-0.04,271.2,0.1,0.3,0.75,12,long,"8,12,16,20"
mnq,1024,299,720,5,29.2,0.007,0.007,0.21,213.6,0.1,0.3,0.75,12,short,"8,12,16,20"
mnq,2324,669,1645,10,28.8,0.002,0.002,0.11,484.8,0.2,0.3,0.75,12,both,"8,12,16,20"
