feature,tipo,condicao,n,wr_1h,wr_4h,edge_1h,edge_4h
bb_w_cl,continua,Q4[2.048-24.485],2960,0.27364864864864863,0.7141891891891892,0.02749220330315108,0.04076462422889182
vol_cl,continua,Q4[0.578-5.691],2960,0.2719594594594595,0.7081081081081081,0.025803014113961936,0.03468354314781075
vol_es,continua,Q2[0.102-0.155],2959,0.2693477526191281,0.7002365664075701,0.02319130727363053,0.026812001447272804
open_4h_dist_mnq,continua,Q2[-0.047-0.000],826,0.2687651331719128,0.698547215496368,0.022608687826415258,0.025122650536070656
open_4h_dist_es,continua,Q2[-0.033-0.000],769,0.26527958387516254,0.6918075422626788,0.01912313852966499,0.018382977302381476
open_d_dist_btc,continua,Q4[0.759-13.090],2960,0.2648648648648649,0.7027027027027027,0.01870841951936733,0.029278137742405397
dist_open_d_btc,continua,Q4[0.759-13.090],2960,0.2648648648648649,0.7027027027027027,0.01870841951936733,0.029278137742405397
vol_mnq,continua,Q2[0.148-0.217],2959,0.26326461642446775,0.7005745184183846,0.017108171078970197,0.02714995345808724
open_w_dist_btc,continua,Q3[0.000-2.335],3191,0.26324036352240676,0.6928862425571921,0.017083918176909213,0.019461677596894766
open_4h_dist_btc,continua,Q2[-0.152-0.000],1003,0.26321036889332006,0.6809571286141576,0.017053923547822508,0.007532563653860236
open_d_dist_es,continua,Q4[0.200-11.354],2960,0.2628378378378378,0.6962837837837837,0.01668139249234027,0.022859218823486405
dist_open_d_es,continua,Q4[0.200-11.354],2960,0.2628378378378378,0.6962837837837837,0.01668139249234027,0.022859218823486405
rsi_mnq_acima_60,binaria,rsi_mnq_acima_60=1,2976,0.26243279569892475,0.7096774193548387,0.0162763503534272,0.0362528543945414
div_cl,continua,Q4[12.257-59.147],2960,0.26216216216216215,0.7101351351351352,0.0160057168166646,0.03671057017483781
dist_sma50_cl,continua,Q4[1.206-38.637],2960,0.26216216216216215,0.6983108108108108,0.0160057168166646,0.024886245850513466
r_cl_4h,continua,Q4[0.490-26.590],2960,0.26182432432432434,0.6820945945945946,0.015667878978826794,0.008670029634297305
rsi_mnq,continua,Q4[60.062-85.544],2960,0.26182432432432434,0.7094594594594594,0.015667878978826794,0.036034894499162085
div_btc,continua,Q3[1.847-9.505],2959,0.2608989523487665,0.6840148698884758,0.014742507003268929,0.010590304928178473
dist_ema20_cl,continua,Q4[0.587-21.851],2960,0.2608108108108108,0.6983108108108108,0.014654365465313263,0.024886245850513466
r_es_4h,continua,Q3[0.023-0.189],2959,0.26022304832713755,0.6951672862453532,0.014066602981640003,0.021742721285055833
rsi_cl,continua,Q4[57.869-90.511],2960,0.2594594594594595,0.6939189189189189,0.013303014113961925,0.020494353958621536
div_es,continua,Q4[2.324-32.983],2960,0.2591216216216216,0.6952702702702702,0.012965176276124063,0.021845705309972874
rsi_es,continua,Q4[60.226-85.240],2960,0.2591216216216216,0.7077702702702703,0.012965176276124063,0.03434570530997294
rsi_btc,continua,Q3[50.618-57.938],2959,0.2585332882730652,0.6836769178776614,0.01237684292756766,0.010252352917364038
r_mnq_8h,continua,Q3[0.063-0.424],2959,0.2585332882730652,0.6860425819533627,0.01237684292756766,0.012618016993065306
rsi_cl_acima_60,binaria,rsi_cl_acima_60=1,2236,0.2584973166368515,0.6909660107334525,0.012340871291353944,0.017541445773155195
vol_es,continua,Q3[0.155-0.235],2959,0.2581953362622508,0.6928016221696519,0.012038890916753225,0.019377057209354565
open_d_dist_mnq,continua,Q4[0.288-13.858],2960,0.2581081081081081,0.6935810810810811,0.011951662762610532,0.02015651612078373
dist_open_d_mnq,continua,Q4[0.288-13.858],2960,0.2581081081081081,0.6935810810810811,0.011951662762610532,0.02015651612078373
r_cl_1h,continua,Q4[0.221-17.646],2960,0.2581081081081081,0.6989864864864865,0.011951662762610532,0.02556192152618919
di_spread_btc,continua,Q4[10.037-47.474],2960,0.2577702702702703,0.7043918918918919,0.011613824924772725,0.03096732693159454
open_d_dist_cl,continua,Q4[0.528-16.314],2960,0.2570945945945946,0.6895270270270271,0.010938149249097057,0.016102462066729717
dist_open_d_cl,continua,Q4[0.528-16.314],2960,0.2570945945945946,0.6895270270270271,0.010938149249097057,0.016102462066729717
